Energy(MeV),Theta(deg),Phi(deg)
0,88.7009,-124.314
0,116.439,27.6791
6.3831,100.922,-35.8262
0,138.847,-112.284
0,109.213,121.352
0,71.7628,-74.9827
0,126.545,-168.936
0.131562,64.1518,-115.772
0,90.3509,-156.954
0,42.4499,51.7246
0,74.6489,163.948
12.0417,79.806,-173.979
0,38.2252,-107.651
0.654331,100.477,-110.637
0,11.3809,-94.0455
0,40.3149,69.9292
0.0848519,111.945,121.304
0,73.3408,-35.7743
0.54457,77.1514,-117.959
0,158.192,113.13
0.289561,78.9034,77.4105
0,59.0587,-137.721
0.670404,95.5799,-152.294
0,62.0807,132.978
0,52.1073,-2.67912
0.100181,94.3288,-40.7129
0,75.7485,41.4639
0,126.178,-73.323
0,98.2652,122.375
0,92.0522,-10.4826
0.0795585,141.745,-106.814
0,17.892,109.985
64.85,37.099,92.5965
0,16.0699,110.982
0,59.882,-110.389
0,120.769,-40.9595
0.210641,74.2752,-11.1005
0,162.054,17.6362
0.0845754,90.7797,38.502
0,150.593,119.771
0,130.619,126.058
0.0889139,50.6668,128.217
0,66.031,74.2803
0,103.232,-73.3193
0,115.785,-11.4154
52.7502,41.1831,35.4429
0,22.8988,-86.5091
0,13.5385,-127.452
0,114.462,-23.5098
0.111812,35.9635,26.0753
0,124.449,149.667
0.173177,15.4956,-115.227
0,20.4465,139.73
0,117.677,17.1936
0,152.747,-143.74
0.0750315,59.7805,-139.621
1.70392,78.2536,-125.793
0,144.273,-28.3507
0.0204482,54.7103,35.4825
0,89.9009,159.267
0.555799,106.382,58.6217
0,51.4845,-146.028
0,97.2751,138.867
0,105.267,0.947298
0.160369,116.3,61.4831
0,162.991,101.376
0.102648,78.8207,98.4088
0,145.8,-64.4739
0,92.2235,-97.2338
0.616796,104.403,-103.324
0,49.3678,97.0246
0.554105,75.2381,173.908
0,47.9243,-11.7939
0,69.3769,39.9732
0.0669408,41.8004,-101.71
0,125.083,151.933
0,162.932,36.3929
0.106498,138.877,156.749
0,98.2788,-51.859
0.135252,107.101,-134.26
0,52.0616,27.3008
0,79.8609,74.7374
0,68.6375,2.224
0.26446,67.5237,74.6011
0,32.1212,-40.0846
0.112438,111.232,-98.2239
0,43.8652,163.604
0,27.3379,32.0158
10.7457,133.564,28.5851
15.1405,50.9587,-17.6974
0,34.6228,117.614
0,9.34502,-156.714
